Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
14,Ed Biedenbach,G,23,PHO,7,,2.6,0.0,0.9,.000,,,,0.0,0.9,.000,.000,0.6,0.9,.667,,,0.3,0.4,,,,0.1,0.6,biedeed01
15,Dave Bing*,PG,25,DET,77,,39.5,8.8,20.7,.425,,,,8.8,20.7,.425,.425,5.8,8.1,.713,,,5.0,7.1,,,,3.3,23.4,bingda01
16,John Block,PF,24,SDR,78,,31.9,5.7,13.6,.422,,,,5.7,13.6,.422,.422,3.8,5.1,.748,,,9.0,1.8,,,,3.2,15.3,blockjo01
17,Tom Boerwinkle,C,23,CHI,80,,29.6,4.0,10.4,.383,,,,4.0,10.4,.383,.383,1.8,2.8,.653,,,11.1,2.2,,,,4.0,9.8,boerwto01
18,Bob Boozer,PF,31,CHI,79,,36.4,8.4,17.4,.481,,,,8.4,17.4,.481,.481,5.0,6.2,.806,,,7.8,2.0,,,,2.8,21.7,boozebo01
19,Nate Bowman,C,25,NYK,67,,9.1,1.2,3.4,.363,,,,1.2,3.4,.363,.363,0.4,0.9,.475,,,3.3,0.8,,,,2.1,2.9,bowmana01
20,Bill Bradley*,SF,25,NYK,82,,29.4,5.0,11.6,.429,,,,5.0,11.6,.429,.429,2.5,3.1,.814,,,4.3,3.7,,,,3.6,12.4,bradlbi01
21,Bill Bridges,PF,29,ATL,80,,36.6,4.4,9.7,.453,,,,4.4,9.7,.453,.453,3.0,4.4,.677,,,14.2,3.7,,,,3.6,11.8,bridgbi01
22,Em Bryant,PG,30,BOS,80,,17.4,2.5,6.1,.404,,,,2.5,6.1,.404,.404,0.8,1.3,.650,,,2.4,2.2,,,,3.3,5.7,bryanem01
23,Joe Caldwell,SG,27,ATL,81,,33.6,6.9,13.7,.507,,,,6.9,13.7,.507,.507,2.0,3.7,.537,,,3.7,4.0,,,,2.9,15.8,caldwjo01
24,Jay Carty,PF,27,LAL,28,,6.9,1.2,3.2,.382,,,,1.2,3.2,.382,.382,0.3,0.4,.727,,,2.1,0.4,,,,1.1,2.7,cartyja01
25,Wilt Chamberlain*,C,32,LAL,81,,45.3,7.9,13.6,.583,,,,7.9,13.6,.583,.583,4.7,10.6,.446,,,21.1,4.5,,,,1.8,20.5,chambwi01
26,Don Chaney,SG,22,BOS,20,,10.5,1.8,5.7,.319,,,,1.8,5.7,.319,.319,0.4,1.0,.400,,,2.3,1.0,,,,1.6,4.0,chanedo01
27,Len Chappell,PF,28,MIL,80,,27.6,5.7,12.6,.454,,,,5.7,12.6,.454,.454,3.1,4.2,.737,,,8.0,1.2,,,,3.1,14.6,chapple01
28,Archie Clark,SG,27,PHI,82,,26.1,5.4,11.3,.478,,,,5.4,11.3,.478,.478,2.7,3.8,.697,,,3.2,3.6,,,,2.3,13.5,clarkar01
29,Barry Clemens,SF,25,CHI,75,,19.3,3.1,8.4,.374,,,,3.1,8.4,.374,.374,1.1,1.7,.656,,,4.2,1.7,,,,2.2,7.4,clemeba01
30,Mel Counts,PF,27,LAL,77,,24.2,5.1,11.3,.450,,,,5.1,11.3,.450,.450,2.3,2.9,.805,,,7.8,1.4,,,,2.9,12.4,countme01
31,Freddie Crawford,SG,27,LAL,81,,20.9,2.6,5.6,.465,,,,2.6,5.6,.465,.465,1.0,1.9,.539,,,2.7,1.9,,,,2.8,6.2,crawffr01
32,Billy Cunningham*,PF,25,PHI,82,,40.8,9.0,21.2,.426,,,,9.0,21.2,.426,.426,6.8,9.2,.737,,,12.8,3.5,,,,4.0,24.8,cunnibi01
33,Dick Cunningham,C,22,MIL,77,,16.1,1.8,4.3,.425,,,,1.8,4.3,.425,.425,0.9,1.4,.651,,,5.7,0.8,,,,2.2,4.6,cunnidi01
34,Jim Davis,C,27,ATL,78,,17.5,3.4,7.3,.467,,,,3.4,7.3,.467,.467,2.0,3.0,.667,,,6.8,1.2,,,,3.1,8.8,davisji01
35,Dave DeBusschere*,PF,28,TOT,76,,38.7,6.7,15.0,.444,,,,6.7,15.0,.444,.444,3.0,4.3,.698,,,11.7,2.5,,,,3.8,16.3,debusda01
35,Dave DeBusschere*,PF,28,DET,29,,37.7,6.5,14.6,.447,,,,6.5,14.6,.447,.447,3.2,4.5,.723,,,12.2,2.2,,,,3.8,16.3,debusda01
35,Dave DeBusschere*,PF,28,NYK,47,,39.4,6.7,15.3,.442,,,,6.7,15.3,.442,.442,2.9,4.2,.682,,,11.4,2.7,,,,3.8,16.4,debusda01
36,Connie Dierking,C,32,CIN,82,,31.0,6.7,15.0,.443,,,,6.7,15.0,.443,.443,3.0,3.9,.762,,,9.0,2.7,,,,3.7,16.3,dierkco01
37,Bill Dinwiddie,SF,25,CIN,69,,14.9,1.8,5.1,.352,,,,1.8,5.1,.352,.352,0.7,1.3,.517,,,3.5,0.8,,,,2.1,4.2,dinwibi01
38,Terry Dischinger,SF,28,DET,75,,19.4,3.5,6.8,.515,,,,3.5,6.8,.515,.515,1.7,2.4,.730,,,4.3,1.2,,,,3.1,8.8,dischte01
39,Sonny Dove,PF,23,DET,29,,8.1,1.6,3.4,.470,,,,1.6,3.4,.470,.470,0.8,1.2,.667,,,2.1,0.4,,,,1.7,4.1,doveso01
40,Johnny Egan,PG,30,LAL,82,,22.0,3.0,7.3,.412,,,,3.0,7.3,.412,.412,2.5,2.9,.850,,,1.8,2.6,,,,2.5,8.5,eganjo01
41,Joe Ellis,SF,24,SFW,74,,23.4,5.0,12.7,.395,,,,5.0,12.7,.395,.395,2.0,2.7,.731,,,6.5,1.8,,,,3.5,12.0,ellisjo01
42,Leroy Ellis,C,28,BAL,80,,20.0,2.9,6.6,.435,,,,2.9,6.6,.435,.435,1.5,1.9,.755,,,6.4,0.9,,,,2.1,7.2,ellisle01
43,Wayne Embry*,C,31,MIL,78,,30.2,4.9,11.5,.427,,,,4.9,11.5,.427,.427,3.3,5.0,.664,,,8.6,1.9,,,,3.9,13.1,embrywa01
44,Keith Erickson,SG,24,LAL,77,,25.6,3.4,8.2,.420,,,,3.4,8.2,.420,.420,1.6,2.3,.686,,,4.0,2.5,,,,2.9,8.4,erickke01
45,Bob Ferry,C,31,BAL,7,,5.1,0.7,2.0,.357,,,,0.7,2.0,.357,.357,0.4,0.9,.500,,,1.3,0.6,,,,0.4,1.9,ferrybo01
46,Hank Finkel,C,26,SDR,35,,9.5,1.4,3.2,.441,,,,1.4,3.2,.441,.441,0.9,1.2,.756,,,3.1,0.6,,,,1.5,3.7,finkeha01
47,Fred Foster,SF,22,CIN,56,,8.9,1.3,3.4,.383,,,,1.3,3.4,.383,.383,0.8,1.2,.652,,,1.1,0.6,,,,0.9,3.4,fostefr01
48,Jim Fox,C,25,TOT,76,,31.0,4.2,8.9,.470,,,,4.2,8.9,.470,.470,2.5,3.5,.715,,,10.8,2.2,,,,3.5,10.9,foxji01
48,Jim Fox,C,25,DET,25,,15.0,1.8,3.8,.469,,,,1.8,3.8,.469,.469,1.4,2.1,.642,,,5.6,0.9,,,,2.2,5.0,foxji01
48,Jim Fox,C,25,PHO,51,,38.8,5.4,11.4,.470,,,,5.4,11.4,.470,.470,3.1,4.2,.734,,,13.3,2.8,,,,4.1,13.8,foxji01
49,Walt Frazier*,PG,23,NYK,80,,36.9,6.6,13.2,.505,,,,6.6,13.2,.505,.505,4.3,5.7,.746,,,6.2,7.9,,,,3.1,17.5,fraziwa01
50,Pat Frink,SG,23,CIN,48,,7.6,1.0,3.1,.340,,,,1.0,3.1,.340,.340,0.5,0.6,.793,,,0.9,1.1,,,,1.1,2.6,frinkpa01
51,Dave Gambee,SF,31,TOT,59,,15.7,3.6,7.9,.452,,,,3.6,7.9,.452,.452,2.7,3.3,.815,,,4.4,0.8,,,,2.7,9.8,gambeda01
51,Dave Gambee,SF,31,MIL,34,,18.4,4.4,9.5,.464,,,,4.4,9.5,.464,.464,3.2,3.9,.827,,,5.3,0.9,,,,2.9,12.1,gambeda01
51,Dave Gambee,SF,31,DET,25,,12.1,2.4,5.7,.423,,,,2.4,5.7,.423,.423,2.0,2.5,.790,,,3.1,0.6,,,,2.4,6.8,gambeda01
52,Gail Goodrich*,PG,25,PHO,81,,40.0,8.9,21.6,.411,,,,8.9,21.6,.411,.411,6.1,8.2,.747,,,5.4,6.4,,,,3.1,23.8,goodrga01
53,Mal Graham,PG,23,BOS,22,,4.7,0.6,2.5,.236,,,,0.6,2.5,.236,.236,0.5,0.6,.786,,,1.1,0.6,,,,1.2,1.7,grahama01
54,Johnny Green,PF,35,PHI,74,,10.7,2.0,3.8,.518,,,,2.0,3.8,.518,.518,0.8,1.7,.456,,,4.5,0.6,,,,1.5,4.7,greenjo01
55,Hal Greer*,SG,32,PHI,82,,40.4,8.9,19.5,.459,,,,8.9,19.5,.459,.459,5.3,6.6,.796,,,5.3,5.0,,,,3.6,23.1,greerha01
56,Gary Gregor,PF,23,PHO,80,,27.3,5.0,12.0,.415,,,,5.0,12.0,.415,.415,1.1,1.6,.649,,,8.9,1.2,,,,3.1,11.1,gregoga01
57,Richie Guerin*,SG,36,ATL,27,,17.5,1.7,4.1,.423,,,,1.7,4.1,.423,.423,2.1,2.7,.770,,,2.2,3.7,,,,2.4,5.6,gueriri01
58,Matt Guokas,SF,24,PHI,72,,11.6,1.3,3.0,.426,,,,1.3,3.0,.426,.426,0.8,1.1,.667,,,1.3,1.4,,,,1.7,3.3,guokama02
59,Al Hairston,SG,23,SEA,39,,7.0,1.0,2.9,.333,,,,1.0,2.9,.333,.333,0.2,0.4,.571,,,0.9,1.0,,,,0.9,2.2,hairsal01
60,Happy Hairston,PF,26,DET,81,,35.7,6.5,14.0,.469,,,,6.5,14.0,.469,.469,5.0,6.8,.731,,,11.8,1.3,,,,3.1,18.1,hairsha01
61,Shaler Halimon,SF,23,PHI,50,,7.0,1.8,3.9,.449,,,,1.8,3.9,.449,.449,0.2,0.6,.313,,,1.7,0.4,,,,0.7,3.7,halimsh01
62,Dennis Hamilton,PF,24,ATL,25,,5.6,1.5,2.7,.552,,,,1.5,2.7,.552,.552,0.1,0.2,.400,,,1.2,0.3,,,,0.8,3.0,hamilde01
63,Skip Harlicka,PG,22,ATL,26,,8.4,1.6,3.5,.456,,,,1.6,3.5,.456,.456,0.9,1.2,.774,,,0.6,1.4,,,,1.1,4.1,harlisk01
64,Art Harris,SG,22,SEA,80,,32.0,5.2,13.2,.395,,,,5.2,13.2,.395,.395,2.0,3.1,.641,,,3.8,3.2,,,,4.1,12.4,harriar01
65,Clem Haskins,PG,25,CHI,79,,36.4,6.8,16.1,.421,,,,6.8,16.1,.421,.421,3.6,4.6,.781,,,4.5,3.9,,,,2.9,17.2,haskicl01
66,John Havlicek*,SG,28,BOS,82,,38.7,8.4,20.8,.405,,,,8.4,20.8,.405,.405,4.7,6.0,.780,,,7.0,5.4,,,,3.0,21.6,havlijo01
67,Tom Hawkins,SF,32,LAL,74,,20.4,3.1,6.2,.499,,,,3.1,6.2,.499,.499,0.8,2.0,.411,,,3.6,1.1,,,,2.3,7.1,hawkito01
68,Elvin Hayes*,C,23,SDR,82,,45.1,11.3,25.4,.447,,,,11.3,25.4,.447,.447,5.7,9.1,.626,,,17.1,1.4,,,,3.2,28.4,hayesel01
69,Walt Hazzard,PG,26,ATL,80,,30.3,4.3,10.9,.397,,,,4.3,10.9,.397,.397,2.6,3.7,.707,,,3.3,5.9,,,,3.3,11.2,abdulma01
70,Fred Hetzel,SF,26,TOT,84,,27.1,5.4,12.5,.436,,,,5.4,12.5,.436,.436,3.6,4.3,.838,,,7.3,1.3,,,,3.4,14.4,hetzefr01
70,Fred Hetzel,SF,26,MIL,53,,30.0,6.0,14.3,.416,,,,6.0,14.3,.416,.416,4.0,4.8,.837,,,8.9,1.6,,,,3.6,15.9,hetzefr01
70,Fred Hetzel,SF,26,CIN,31,,22.1,4.5,9.3,.488,,,,4.5,9.3,.488,.488,2.8,3.4,.838,,,4.5,0.9,,,,3.0,11.9,hetzefr01
71,Bill Hewitt,PF,24,LAL,75,,19.4,3.2,7.0,.453,,,,3.2,7.0,.453,.453,0.8,1.4,.575,,,4.4,1.0,,,,1.9,7.2,hewitbi01
72,Bill Hosket,PF,22,NYK,50,,7.0,1.1,2.5,.431,,,,1.1,2.5,.431,.431,0.5,0.8,.571,,,1.9,0.4,,,,1.5,2.6,hoskebi01
73,Bailey Howell*,PF,32,BOS,78,,32.4,7.8,16.1,.487,,,,7.8,16.1,.487,.487,4.0,5.5,.735,,,8.8,1.8,,,,3.7,19.7,howelba01
74,Lou Hudson*,SF,24,ATL,81,,35.4,8.8,18.0,.492,,,,8.8,18.0,.492,.492,4.2,5.4,.777,,,6.6,2.7,,,,3.1,21.9,hudsolo01
75,Darrall Imhoff,C,30,PHI,82,,28.8,3.4,7.2,.470,,,,3.4,7.2,.470,.470,2.4,4.0,.597,,,9.7,2.7,,,,3.8,9.2,imhofda01
76,Luke Jackson,C,27,PHI,25,,33.6,5.8,13.3,.437,,,,5.8,13.3,.437,.437,2.8,3.9,.711,,,11.4,2.2,,,,4.1,14.4,jackslu01
77,Phil Jackson*,PF,23,NYK,47,,19.7,2.7,6.3,.429,,,,2.7,6.3,.429,.429,1.7,2.5,.672,,,5.2,0.9,,,,3.6,7.1,jacksph01
78,Gus Johnson*,PF,30,BAL,49,,34.1,7.3,16.0,.459,,,,7.3,16.0,.459,.459,3.3,4.6,.717,,,11.6,2.0,,,,3.6,17.9,johnsgu01
79,Neil Johnson,PF,25,PHO,80,,16.5,2.2,4.6,.481,,,,2.2,4.6,.481,.481,1.4,2.2,.621,,,5.0,1.7,,,,2.7,5.8,johnsne02
80,Rich Johnson,C,22,BOS,31,,5.3,0.9,2.5,.382,,,,0.9,2.5,.382,.382,0.4,0.7,.478,,,1.7,0.2,,,,1.3,2.2,johnsri01
81,Sam Jones*,SG,35,BOS,70,,26.0,7.1,15.8,.450,,,,7.1,15.8,.450,.450,2.1,2.7,.783,,,3.8,2.6,,,,1.7,16.3,jonessa01
82,Wali Jones,PG,26,PHI,81,,28.9,5.3,12.4,.430,,,,5.3,12.4,.430,.430,2.6,3.2,.809,,,3.1,3.6,,,,3.5,13.2,joneswa02
83,Bob Kauffman,C,22,SEA,82,,20.2,2.7,6.0,.442,,,,2.7,6.0,.442,.442,2.5,3.5,.702,,,5.9,1.0,,,,3.1,7.8,kauffbo01
84,Joe Kennedy,SF,22,SEA,72,,17.2,2.4,6.1,.395,,,,2.4,6.1,.395,.395,1.4,1.7,.790,,,3.3,0.8,,,,2.2,6.2,kennejo01
85,Toby Kimball,PF,26,SDR,76,,22.1,3.1,7.1,.445,,,,3.1,7.1,.445,.445,1.5,3.3,.468,,,8.8,1.2,,,,2.8,7.8,kimbato01
86,Jim King,PG,27,SFW,46,,22.0,3.0,8.6,.348,,,,3.0,8.6,.348,.348,1.7,2.3,.722,,,2.6,2.7,,,,2.2,7.7,kingji01
87,Rod Knowles,F-C,22,PHO,8,,5.0,0.5,1.8,.286,,,,0.5,1.8,.286,.286,0.1,0.4,.333,,,1.1,0.0,,,,1.3,1.1,knowlro01
88,Don Kojis,SF,30,SDR,81,,38.6,8.5,19.5,.434,,,,8.5,19.5,.434,.434,5.5,7.4,.748,,,9.6,2.6,,,,3.7,22.5,kojisdo01
89,Howard Komives,PG,27,TOT,85,,30.1,4.5,11.5,.389,,,,4.5,11.5,.389,.389,2.5,3.1,.799,,,3.5,4.7,,,,3.2,11.4,komivho01
89,Howard Komives,PG,27,NYK,32,,26.1,3.3,9.7,.346,,,,3.3,9.7,.346,.346,2.3,2.7,.849,,,3.0,4.3,,,,3.0,9.0,komivho01
89,Howard Komives,PG,27,DET,53,,32.6,5.1,12.5,.409,,,,5.1,12.5,.409,.409,2.6,3.4,.775,,,3.8,5.0,,,,3.4,12.9,komivho01
90,Tommy Kron,SG,25,SEA,76,,14.8,1.9,4.9,.392,,,,1.9,4.9,.392,.392,1.3,1.8,.701,,,2.8,2.5,,,,2.4,5.1,kronto01
91,Stu Lantz,SG,22,SDR,73,,18.9,3.0,6.6,.456,,,,3.0,6.6,.456,.456,1.8,2.3,.772,,,3.2,1.4,,,,2.4,7.8,lantzst01
92,Rudy LaRusso,SF,31,SFW,75,,37.1,7.4,18.0,.410,,,,7.4,18.0,.410,.410,5.9,7.5,.794,,,8.3,2.1,,,,3.6,20.7,larusru01
93,Dave Lattin,PF,25,PHO,68,,14.5,2.2,5.4,.410,,,,2.2,5.4,.410,.410,1.6,2.5,.634,,,4.8,0.7,,,,2.4,6.0,lattida01
94,Clyde Lee,PF,24,SFW,65,,34.4,4.1,10.4,.398,,,,4.1,10.4,.398,.398,2.5,3.9,.625,,,13.8,1.3,,,,3.5,10.7,leecl01
95,George Lehmann,PG,26,ATL,11,,12.5,2.4,6.1,.388,,,,2.4,6.1,.388,.388,0.7,1.1,.667,,,0.8,2.5,,,,1.6,5.5,lehmage01
96,Bobby Lewis,SG,23,SFW,62,,12.2,1.8,4.7,.390,,,,1.8,4.7,.390,.390,1.3,1.8,.735,,,1.8,1.2,,,,1.9,5.0,lewisbo01
97,Plummer Lott,SF,23,SEA,23,,7.0,0.7,2.9,.258,,,,0.7,2.9,.258,.258,0.1,0.2,.400,,,1.3,0.3,,,,0.4,1.6,lottpl01
98,Kevin Loughery,PG,28,BAL,80,,39.2,9.0,20.5,.438,,,,9.0,20.5,.438,.438,4.7,5.8,.803,,,3.3,4.8,,,,3.7,22.6,loughke01
99,Bob Love,PF-SF,26,TOT,49,,11.1,2.2,5.6,.397,,,,2.2,5.6,.397,.397,1.4,2.0,.740,,,3.1,0.3,,,,1.2,5.9,lovebo01
99,Bob Love,SF,26,MIL,14,,16.2,2.8,7.6,.368,,,,2.8,7.6,.368,.368,2.1,2.7,.763,,,4.6,0.2,,,,1.6,7.6,lovebo01
99,Bob Love,PF,26,CHI,35,,9.0,2.0,4.7,.416,,,,2.0,4.7,.416,.416,1.2,1.7,.724,,,2.5,0.4,,,,1.1,5.1,lovebo01
100,Jerry Lucas*,PF,28,CIN,74,,41.6,7.5,13.6,.551,,,,7.5,13.6,.551,.551,3.3,4.4,.755,,,18.4,4.1,,,,2.8,18.3,lucasje01
101,Ed Manning,PF,25,BAL,63,,11.5,2.0,4.6,.448,,,,2.0,4.6,.448,.448,0.6,0.9,.648,,,3.9,0.3,,,,1.9,4.7,mannied01
102,Jack Marin,SF,24,BAL,82,,33.0,6.2,13.5,.455,,,,6.2,13.5,.455,.455,3.6,4.3,.830,,,7.4,2.8,,,,3.4,15.9,marinja01
103,Don May,SF,23,NYK,48,,11.7,1.7,4.6,.363,,,,1.7,4.6,.363,.363,0.9,1.2,.724,,,2.4,0.7,,,,1.3,4.3,maydo01
104,Jon McGlocklin,SG,25,MIL,80,,36.1,8.3,17.0,.487,,,,8.3,17.0,.487,.487,3.1,3.7,.842,,,4.3,3.9,,,,2.3,19.6,mcglojo01
105,Stan McKenzie,SF,24,PHO,80,,19.6,3.3,7.7,.427,,,,3.3,7.7,.427,.427,2.7,3.6,.763,,,3.1,1.5,,,,2.4,9.3,mckenst01
106,McCoy McLemore,SF,26,TOT,81,,20.0,3.5,8.9,.391,,,,3.5,8.9,.391,.391,2.1,2.6,.790,,,5.0,1.2,,,,2.3,9.0,mclemmc01
106,McCoy McLemore,SF,26,PHO,31,,22.9,4.5,11.8,.385,,,,4.5,11.8,.385,.385,2.7,3.5,.773,,,5.4,1.6,,,,2.4,11.8,mclemmc01
106,McCoy McLemore,SF,26,DET,50,,18.2,2.8,7.1,.396,,,,2.8,7.1,.396,.396,1.7,2.1,.808,,,4.7,0.9,,,,2.3,7.3,mclemmc01
107,Tom Meschery,SF,30,SEA,82,,32.6,5.6,12.4,.453,,,,5.6,12.4,.453,.453,2.7,3.6,.736,,,10.0,2.4,,,,3.7,14.0,meschto01
108,Eddie Miles,SG,28,DET,80,,28.2,5.5,12.3,.449,,,,5.5,12.3,.449,.449,2.3,3.4,.667,,,3.5,2.3,,,,2.5,13.3,milesed01
109,Jay Miller,SF,25,MIL,3,,9.0,0.7,3.3,.200,,,,0.7,3.3,.200,.200,1.7,2.3,.714,,,0.7,0.0,,,,1.3,3.0,milleja01
110,Earl Monroe*,SG,24,BAL,80,,38.4,10.1,23.0,.440,,,,10.1,23.0,.440,.440,5.6,7.3,.768,,,3.5,4.9,,,,3.3,25.8,monroea01
111,Otto Moore,C,22,DET,74,,21.7,3.3,7.4,.443,,,,3.3,7.4,.443,.443,1.2,2.3,.524,,,7.1,0.9,,,,2.5,7.7,mooreot01
112,Erwin Mueller,PF,24,TOT,78,,17.4,1.8,4.9,.375,,,,1.8,4.9,.375,.375,1.1,2.1,.549,,,3.8,2.4,,,,1.8,4.8,mueller01
112,Erwin Mueller,PF,24,CHI,52,,16.8,1.4,4.3,.335,,,,1.4,4.3,.335,.335,0.9,1.7,.511,,,3.7,2.4,,,,1.9,3.8,mueller01
112,Erwin Mueller,PF,24,SEA,26,,18.6,2.7,6.2,.431,,,,2.7,6.2,.431,.431,1.7,2.8,.597,,,4.0,2.4,,,,1.7,7.0,mueller01
113,Jeff Mullins,SG,26,SFW,78,,37.4,8.9,19.4,.459,,,,8.9,19.4,.459,.459,4.9,5.8,.843,,,5.9,4.3,,,,3.2,22.8,mullije01
114,Dorie Murrey,PF,25,SEA,38,,12.2,2.0,5.1,.387,,,,2.0,5.1,.387,.387,1.6,2.6,.639,,,3.9,0.6,,,,2.1,5.6,murredo01
115,Don Nelson*,SF,28,BOS,82,,21.6,4.6,9.4,.485,,,,4.6,9.4,.485,.485,2.5,3.2,.776,,,5.6,1.1,,,,2.4,11.6,nelsodo01
116,Dave Newmark,C,22,CHI,81,,14.3,2.3,5.9,.389,,,,2.3,5.9,.389,.389,1.1,1.7,.619,,,4.3,0.7,,,,2.5,5.6,newmada01
117,Rich Niemann,C,22,TOT,34,,8.0,1.3,3.1,.415,,,,1.3,3.1,.415,.415,0.6,0.7,.760,,,2.9,0.5,,,,1.8,3.1,niemari01
117,Rich Niemann,C,22,DET,16,,7.7,1.3,2.9,.426,,,,1.3,2.9,.426,.426,0.5,0.6,.800,,,2.6,0.6,,,,1.9,3.0,niemari01
117,Rich Niemann,C,22,MIL,18,,8.3,1.3,3.3,.407,,,,1.3,3.3,.407,.407,0.6,0.8,.733,,,3.3,0.4,,,,1.7,3.3,niemari01
118,Don Ohl,SG,32,ATL,76,,26.3,5.1,11.9,.427,,,,5.1,11.9,.427,.427,1.9,2.7,.707,,,2.2,2.9,,,,3.1,12.1,ohldo01
119,Bud Olsen,PF,28,TOT,17,,6.6,0.9,2.5,.357,,,,0.9,2.5,.357,.357,0.2,1.1,.222,,,1.5,0.6,,,,0.8,2.0,olsenbu01
119,Bud Olsen,PF,28,BOS,7,,6.1,1.0,2.7,.368,,,,1.0,2.7,.368,.368,0.0,0.9,.000,,,2.0,0.6,,,,0.9,2.0,olsenbu01
119,Bud Olsen,PF,28,DET,10,,7.0,0.8,2.3,.348,,,,0.8,2.3,.348,.348,0.4,1.2,.333,,,1.1,0.7,,,,0.8,2.0,olsenbu01
120,Barry Orms,PG,22,BAL,64,,14.3,1.2,3.8,.309,,,,1.2,3.8,.309,.309,0.5,0.9,.483,,,2.5,0.8,,,,2.4,2.8,ormsba01
121,Charlie Paulk,PF,22,MIL,17,,12.8,1.1,4.9,.226,,,,1.1,4.9,.226,.226,0.8,1.4,.565,,,4.6,0.2,,,,1.5,3.0,paulkch01
122,Loy Petersen,SG,23,CHI,38,,7.9,1.2,2.9,.404,,,,1.2,2.9,.404,.404,0.5,0.7,.704,,,1.1,0.7,,,,1.0,2.8,peterlo01
123,Bob Quick,SF,22,BAL,28,,5.5,1.1,2.6,.411,,,,1.1,2.6,.411,.411,1.0,1.6,.614,,,0.9,0.4,,,,0.5,3.1,quickbo01
