Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
76,Bill Russell*,C,22,BOS,48,,35.3,5.8,13.5,.427,,,,5.8,13.5,.427,.427,3.2,6.4,.492,,,19.6,1.8,,,,3.0,14.7,russebi01
77,Don Savage,F-G,28,SYR,5,,11.0,1.2,3.8,.316,,,,1.2,3.8,.316,.316,1.2,1.4,.857,,,1.4,0.4,,,,1.4,3.6,savagdo01
78,Bob Schafer,SG,23,SYR,11,,15.2,1.7,6.0,.288,,,,1.7,6.0,.288,.288,1.0,1.2,.846,,,1.0,1.4,,,,1.5,4.5,schafbo01
79,Dolph Schayes*,PF,28,SYR,72,,39.6,6.9,18.2,.379,,,,6.9,18.2,.379,.379,8.7,9.6,.904,,,14.0,3.2,,,,3.0,22.5,schaydo01
80,Dick Schnittker,SF,28,MNL,70,,14.2,1.6,5.0,.322,,,,1.6,5.0,.322,.322,2.3,2.8,.829,,,2.6,0.7,,,,2.1,5.5,schnidi01
81,Kenny Sears,SF,23,NYK,72,,34.9,4.8,11.4,.418,,,,4.8,11.4,.418,.418,5.3,6.7,.790,,,8.5,1.4,,,,3.1,14.8,searske01
82,Paul Seymour,PG,29,SYR,65,,19.0,2.2,6.8,.324,,,,2.2,6.8,.324,.324,1.6,1.9,.821,,,2.0,3.0,,,,1.4,6.0,seymopa01
83,Chuck Share,C,29,STL,72,,23.2,3.3,7.4,.439,,,,3.3,7.4,.439,.439,3.7,5.5,.684,,,8.9,1.1,,,,3.7,10.3,sharech01
84,Bill Sharman*,SG,30,BOS,67,,35.9,7.7,18.5,.416,,,,7.7,18.5,.416,.416,5.7,6.3,.905,,,4.3,3.5,,,,2.8,21.1,sharmbi01
85,Ron Shavlik,F,23,NYK,7,,10.3,0.6,3.1,.182,,,,0.6,3.1,.182,.182,0.3,0.7,.400,,,3.1,0.0,,,,1.7,1.4,shavlro01
86,Gene Shue,PG,25,FTW,72,,34.3,3.8,9.9,.385,,,,3.8,9.9,.385,.385,3.3,4.4,.763,,,5.8,3.3,,,,1.9,10.9,shuege01
87,Whitey Skoog,SG,30,MNL,23,,28.5,3.4,9.6,.355,,,,3.4,9.6,.355,.355,1.9,2.0,.936,,,3.1,3.3,,,,2.8,8.7,skoogwh01
88,Ron Sobie,SG,22,NYK,71,,19.4,2.3,6.2,.376,,,,2.3,6.2,.376,.376,2.1,2.8,.764,,,4.6,1.8,,,,2.2,6.8,sobiero01
89,Odie Spears,SF,32,TOT,11,,10.7,1.1,3.5,.316,,,,1.1,3.5,.316,.316,1.7,2.0,.864,,,1.4,0.6,,,,2.2,3.9,spearod01
89,Odie Spears,SF,32,FTW,4,,5.3,0.5,1.8,.286,,,,0.5,1.8,.286,.286,1.0,1.0,1.000,,,0.8,0.3,,,,0.5,2.0,spearod01
89,Odie Spears,SF,32,STL,7,,13.9,1.4,4.4,.323,,,,1.4,4.4,.323,.323,2.1,2.6,.833,,,1.7,0.9,,,,3.1,5.0,spearod01
90,Art Spoelstra,C,24,ROC,69,,17.0,3.1,8.1,.388,,,,3.1,8.1,.388,.388,1.3,1.7,.733,,,3.2,0.8,,,,2.4,7.6,spoelar01
91,Norm Stewart,F,22,STL,5,,7.4,0.8,3.0,.267,,,,0.8,3.0,.267,.267,0.4,1.2,.333,,,1.0,0.4,,,,1.8,2.0,stewano01
92,Maurice Stokes*,PF,23,ROC,72,,38.3,6.0,17.3,.347,,,,6.0,17.3,.347,.347,3.6,5.3,.665,,,17.4,4.6,,,,4.0,15.6,stokema01
93,Bill Thieben,PF,21,FTW,58,,10.9,1.6,4.4,.352,,,,1.6,4.4,.352,.352,1.0,1.5,.655,,,3.6,0.3,,,,1.3,4.1,thiebbi01
94,Lou Tsioropoulos,SF,26,BOS,52,,12.9,1.5,4.9,.309,,,,1.5,4.9,.309,.309,1.3,1.7,.775,,,4.0,0.6,,,,2.6,4.4,tsiorlo01
95,Jim Tucker,PF,24,SYR,9,,13.2,1.9,4.9,.386,,,,1.9,4.9,.386,.386,0.0,0.1,.000,,,2.2,0.2,,,,2.9,3.8,tuckeji01
96,Jack Twyman*,SG,22,ROC,72,,32.5,6.2,14.2,.439,,,,6.2,14.2,.439,.439,3.8,5.0,.760,,,4.9,1.7,,,,3.5,16.3,twymaja01
97,Bobby Wanzer*,SG,35,ROC,21,,7.6,1.1,2.3,.469,,,,1.1,2.3,.469,.469,1.7,2.2,.783,,,1.2,0.4,,,,1.0,3.9,wanzebo01
98,Bob Williams,F,25,MNL,4,,5.0,0.3,1.0,.250,,,,0.3,1.0,.250,.250,0.5,0.8,.667,,,1.3,0.0,,,,0.5,1.0,willibo01
99,George Yardley*,SF,28,FTW,72,,37.4,7.3,17.7,.410,,,,7.3,17.7,.410,.410,7.0,8.9,.787,,,10.5,2.0,,,,3.2,21.5,yardlge01
